Unique ID,Title,Category,Source,Owner,Status
,1. 1940s-1960s,History,http://en.wikipedia.org/wiki/Skateboarding,Sheena Ravary,Needs to be written
,2. 1970s,History,http://en.wikipedia.org/wiki/Skateboarding,Sheena Ravary,Needs to be written
,3. 1980s,History,http://en.wikipedia.org/wiki/Skateboarding,Sheena Ravary,Needs to be written
,4. 1990s,History,http://en.wikipedia.org/wiki/Skateboarding,Sheena Ravary,Needs to be written
,5. 2000s - Present,History,http://en.wikipedia.org/wiki/Skateboarding,Sheena Ravary,Needs to be written
,6. Culture,Culture,http://en.wikipedia.org/wiki/Skateboarding,Sheena Ravary,Needs to be written
,7. Tricks,Basics,http://en.wikipedia.org/wiki/Skateboarding_trick,Sheena Ravary,Needs to be written
,8. Termanology,Culture,http://en.wikipedia.org/wiki/List_of_skateboarding_terms,Sheena Ravary,Needs to be written
,9. Skate companies,Industry,http://en.wikipedia.org/wiki/Skateboarding_companies,Sheena Ravary,Needs to be written
,"15. Skateboard (decks, trucks)",Basics,http://en.wikipedia.org/wiki/Skateboard,Sheena Ravary,Needs to be written
,10. Tony Alva,Homies,http://en.wikipedia.org/wiki/Tony_Alva,Sheena Ravary,Needs to be written
,11. Jay Adams,Homies,http://en.wikipedia.org/wiki/Jay_Adams,Sheena Ravary,Needs to be written
,12. Zephyr,Industry,http://en.wikipedia.org/wiki/Jeff_Ho_Surfboards_and_Zephyr_Productions,Sheena Ravary,Needs to be written
,13. Stacy Peralta,Homies,http://en.wikipedia.org/wiki/Stacy_Peralta,Sheena Ravary,Needs to be written
,14. Tony Hawk,Homies,http://en.wikipedia.org/wiki/Tony_Hawk,Sheena Ravary,Needs to be written
